l,a,b,x,y,z,label
79.8486,2.24413,-5.02708,0.0529361,0.0562608,0.0943171,sugar
97.8213,-1.18781,5.33976,0.0141355,0.0234182,0.075445,sugar
79.8486,2.24413,-5.02708,0.05293961,0.0562608,0.0943171,sugar
86.9384,-12.1286,84.9631,0.0269297,0.0831674,0.118202,sugar
80.8978,-12.1058,78.5053,0.0181647,0.051389,0.147954,sugar
87.3976,-1.24477,9.56604,0.0393052,0.0995454,0.157698,sugar
85.1334,0.8363,-3.42659,0.020432,0.0620528,0.0693969,sugar
95.0591,-2.73122,8.37764,0.0219909,0.0240513,0.097249,sugar
78.6254,-1.6263,2.46456,0.0322614,0.0972605,0.124035,sugar
80.5929,-3.27658,10.6831,0.050759,0.0978022,0.146637,sugar
82.1945,-12.6918,54.3279,0.0120647,0.0331603,0.0876214,sugar
88.8146,-0.237935,-0.195596,0.0495409,0.0773611,0.14808,sugar
81.3588,-13.2212,80.6724,0.0289258,0.0885959,0.119934,sugar
94.1404,-3.4292,11.6089,0.0155387,0.0187781,0.112986,sugar
69.4378,-2.18483,2.60913,0.0336489,0.0673952,0.0928951,sugar
72.5794,-10.9372,72.4629,0.0339202,0.100687,0.134666,sugar
69.535,1.46143,-3.9431,0.0386581,0.0623951,0.0857401,sugar
75.0305,-12.3249,73.9155,0.0197571,0.0657059,0.123895,sugar
89.2819,-3.89575,14.2782,0.0188854,0.0680887,0.117462,sugar
75.5361,-1.57378,7.52599,0.00869256,0.0673018,0.111137,sugar
80.2707,-10.4258,39.219,0.0224703,0.0846148,0.123329,sugar
74.87,0.252583,-2.46802,0.0312849,0.0674385,0.0867367,sugar
88.0895,-14.8112,61.5886,0.0662733,0.0724216,0.152971,sugar
72.3001,-0.477715,-3.86316,0.0233,0.0374795,0.0536759,sugar
92.3486,-16.5395,66.5116,0.0300503,0.0495754,0.0776467,sugar
76.9585,-6.9095,21.2601,0.00853199,0.0358345,0.0666449,sugar
77.3339,-3.19382,4.50227,0.017661,0.0457564,0.0670097,sugar
88.6932,-17.9013,85.8917,0.0304663,0.0596817,0.130346,sugar
78.2432,-13.5487,67.5266,0.0364786,0.090035,0.155183,sugar
77.7259,-1.49138,2.51053,0.0275859,0.0490549,0.0873054,sugar
83.4473,-14.7295,70.0811,0.0422549,0.0632244,0.0919001,sugar
90.7793,-17.3279,67.301,0.00458837,0.0282504,0.065894,sugar
87.6723,-6.97254,19.4676,0.0266443,0.0911534,0.129706,sugar
90.8727,-10.5415,77.0276,0.0166943,0.0433746,0.0512165,lemon
88.5681,-8.32809,77.1678,0.00767532,0.0496876,0.102422,lemon
91.4851,-12.2862,79.7953,0.0226451,0.0375659,0.0475741,lemon
79.1586,-0.164703,76.8269,0.00818273,0.0250257,0.111064,lemon
87.3065,-7.42312,73.3902,0.0373441,0.0410115,0.0599876,lemon
81.9683,-1.5149,80.0189,0.0100593,0.0296793,0.115264,lemon
89.1248,-8.39769,80.2644,0.0200807,0.046889,0.0473588,lemon
78.9931,0.317705,73.7888,0.0077222,0.0291753,0.104515,lemon
89.6033,-12.3098,84.9556,0.0184996,0.0374437,0.0449907,lemon
83.0241,-3.11899,78.2475,0.00582823,0.0244427,0.088832,lemon
86.1866,-7.6112,71.5865,0.0341001,0.0402797,0.0901051,lemon
80.0938,-1.13936,75.1582,0.0083583,0.0312335,0.1035556,lemon
89.7821,-10.7235,83.5999,0.0226028,0.467155,0.0470911,lemon
77.8482,0.205816,70.1516,0.0062781,0.0353365,0.09108,lemon
87.4042,-9.69256,73.1816,0.0319877,0.0511269,0.0812359,lemon
79.6459,-1.95347,60.1382,0.0104184,0.034086,0.0907136,lemon
91.7487,-11.4698,76.4816,0.0198124,0.0419353,0.0518592,lemon
90.2819,-3.12474,65.6329,0.0056071,0.0375858,0.0845512,lemon
92.0099,-11.5995,82.8591,0.017306,0.042041,0.0461712,lemon
77.6418,0.29702,65.179,0.0129918,0.0330181,0.109318,lemon
70.6921,21.7699,49.7798,0.0313481,0.0556102,0.0861201,cart
49.7332,58.4355,59.908,0.0168194,0.0376009,0.0809661,cart
66.9923,20.5809,67.3768,0.0352004,0.0782955,0.10419,cart
79.5087,6.60676,74.28962,0.0306807,0.0749529,0.100207,cart
62.6981,-9.67112,-8.53707,0.0241099,0.0521371,0.100978,cart
67.2278,-9.66158,-12.2486,0.017502,0.0409456,0.0739646,cart
